FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:7;vars:3.trace,56.39843034744263,4,(G (x0 & x1)),46.43279046192765,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:7;vars:2.trace,57.10952806472778,4,(G (x1 & x0)),50.40641900524497,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:5;vars:2.trace,63.41066551208496,5,(G (x0 & (X x1))),31.900045125745237,5,(x0 U (G (x0 & x1))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/100traces;len:5;vars:2.trace,67.01381516456604,5,(x0 -> ((X x0) -> (G x0))),32.35136395506561,5,((x0 U (! (X x0))) -> (! (X x0))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:2.trace,69.17397570610046,4,((x0 . x0) |-> x1),34.89302393887192,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:9;vars:2.trace,75.1139075756073,4,(G (x1 & x0)),72.00825623329729,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:11;vars:3.trace,78.62491488456726,5,((x0 . x0) |-> ((x0 . x0) |-> x1)),48.44203360565007,6,((x2 -> x1) U (! x0)),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:7;vars:3.trace,84.94864273071289,4,((x0 . x0) |-> x1),52.61148325446993,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:13;vars:3.trace,86.75836110115051,5,((x0 U (X x2)) -> (X x2)),32.844890027306974,5,((x0 U (X x2)) -> (X x2)),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:3.trace,87.53983664512634,4,((x0 . x0) |-> x1),53.21786398999393,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:13;vars:2.trace,89.81599044799805,5,((x0 -> (G x0)) | (X (x0 -> (G x0)))),33.035856295377016,5,((x0 U (X (! x0))) -> (X (! x0))),51
allTests/generatedTracesFromPSL/smallTests/13.trace,91.07898187637329,5,(x1 -> (X (x0 -> x1))),39.43170747347176,5,(x1 -> (X (x0 -> x1))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:13;vars:1.trace,103.18240404129028,5,((X x0) -> (x0 -> (G x0))),28.56862473860383,5,((X x0) -> (x0 -> (G x0))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:15;vars:2.trace,105.96572828292847,5,((x0 & (X x0)) -> (X (X x0))),36.75166352279484,5,((x0 & (X x0)) -> (X (X x0))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:7;vars:3.trace,108.28575849533081,5,(G (x0 & (X x1))),46.94373973272741,5,(G (x0 & (X x1))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:7;vars:2.trace,108.49290418624878,5,(X ((G x1) & x0)),42.43149668723345,5,(X (x0 & (G x1))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:11;vars:3.trace,112.06572031974792,4,(G (x0 & x1)),93.92751093581319,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:9;vars:5.trace,117.71337008476257,5,((X x3) -> (F (X (X x3)))),45.90524512436241,5,((x0 U (G x2)) -> (G x2)),51
