FileName,PSL-Time taken(2loops),PSL-Size(2loops),PSL-Formula Generated(2loops),LTL-Time taken,LTL-Size,LTL-Formula Generated
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:11;vars:2.trace,146.147668361664,5,(x0 -> (G ((X x0) | x0))),59.3907417617738,5,(x0 -> (G ((X x0) U x0)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:7;vars:2.trace,148.30523276329,5,((* (true . true)) |-> x0),1509.41556194099,7,((X x0) U ((X (X x0)) & (G ((X (X x0)) -> x0))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:5;vars:1.trace,150.48163485527,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:5;vars:2.trace,160.153104782105,6,(x0 -> (x0 U (x1 -> (G x1)))),66.5641172681935,6,(x0 -> (x0 U (x1 -> (G x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:5;vars:3.trace,161.029962778091,6,(X (x0 -> (X (X x1)))),41.5964064626023,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:5;vars:2.trace,161.782510519028,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:5;vars:2.trace,172.431277990341,5,((* (true . true)) |-> x0),1352.14860213967,7,((X x0) & ((X x0) U (G (x0 -> (X (X x0))))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:3;vars:3.trace,173.028139591217,6,(X (x0 -> (X (X x1)))),100.354076553136,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:7;vars:2.trace,176.244195222855,6,((X (X x0)) U (x0 -> (G x0))),66.9271753970534,6,((X (X x0)) U (x0 -> (G x0)))
allTests/generatedTracesFromPSL/smallTests/02.trace,179.858203649521,6,(x0 -> (G (x0 -> (X (X x0))))),91.9901202870533,6,(x0 -> (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/smallTests/23.trace,191.575282335281,5,((* (true . true)) |-> x0),748.384154309053,7,((X x0) & ((X x0) U (G (x0 -> (X (X x0))))))
allTests/generatedTracesFromPSL/smallTests/08.trace,196.119698762894,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:5;vars:3.trace,198.397710084915,5,((* (x0 . x0)) |-> x1),10000,,
