FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:15;vars:1.trace,123.768774,5,((x0 & (X x0)) -> (X (X x0))),31.10434093,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:2.trace,127.5265274,5,((* (true . true)) |-> x0),17.73005569,6,(G (x1 U (X (X x0)))),17
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:13;vars:2.trace,127.7015278,5,((X (X x0)) & (X (X (X x0)))),32.90353001,5,(X ((X x0) & (X (X x0)))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:5;vars:2.trace,131.8538873,5,((* (true . true)) |-> x0),50.08238269,6,((X x0) & (G (x0 -> (X (X x0))))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:13;vars:3.trace,133.1268189,4,(G (x1 & x0)),108.3250368,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:2.trace,136.0376818,4,((x0 . x0) |-> x1),50.52480764,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:13;vars:5.trace,158.172389,5,((F (G x2)) -> (x2 -> (G x2))),63.5458135,5,((F (G x2)) -> (x2 -> (G x2))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:15;vars:2.trace,160.35096,4,(G (x0 & x1)),129.5231313,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/500traces;len:9;vars:2.trace,163.704792,4,(G (x1 & x0)),149.1019768,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/250traces;len:5;vars:2.trace,169.0656097,5,(x0 -> (X (x0 -> (X x0)))),102.3871518,5,((x0 & (X x0)) -> (X (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:9;vars:2.trace,181.5857382,5,(x0 U (G (x1 & x0))),64.32549087,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:5;vars:2.trace,187.4555678,5,(G (x0 & (X x1))),94.45437837,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:1.trace,191.3014655,5,((* (true . true)) |-> x0),46.27131743,6,((X x0) & (G (x0 -> (X (X x0))))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:5;vars:3.trace,197.4597006,5,(G (x0 & (X x1))),88.97016404,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:7;vars:1.trace,200.7014632,5,((* (true . true)) |-> x0),139.4302044,7,((x0 -> (x0 & (X (X x0)))) & (X (x0 & (X (X x0))))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:15;vars:2.trace,200.9001269,4,((x0 . x0) |-> x1),77.80113654,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/500traces;len:11;vars:3.trace,218.1863801,4,(G (x0 & x1)),191.1346697,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:2.trace,221.9190288,5,((* (true . true)) |-> x0),1288.010661,7,((X x0) & (G ((X (X (X x0))) U x0))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:7;vars:3.trace,252.8743417,5,((x0 . x1) |-> x2),38.33482708,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:7;vars:3.trace,267.680167,5,((* (x0 . x0)) |-> x1),141.518996,7,((x0 & (X x0)) -> (G (x0 -> x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:5;vars:3.trace,291.7855909,5,((x0 . x1) |-> x2),46.49624811,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/smallTests/22.trace,293.5564981,5,((* (true . true)) |-> x0),224.6766951,7,((X x0) & (G (x0 U (X (X (X x0)))))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:3.trace,299.653249,5,((x0 . x0) |-> (G x1)),110.3920683,6,((X x0) -> (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:5;vars:4.trace,303.2420731,5,((x0 . x1) |-> x2),53.10315991,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:11;vars:2.trace,306.3239689,4,((x0 . x0) |-> x1),109.6060852,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:2.trace,334.3648334,5,((* (x0 . x0)) |-> x1),618.4338709,7,((X (x0 -> x1)) U (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/smallTests/07.trace,342.683495,5,((* (x0 . x0)) |-> x1),233.4275589,7,((X (x0 -> x1)) U (x0 -> (G x1))),17
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:5;vars:3.trace,355.7020614,6,((x0 . x1) |-> (X x2)),65.73780492,7,((x0 & (X x1)) -> (G x2)),2
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:13;vars:2.trace,367.4644475,5,((X x1) & (G x0)),112.6968641,5,((G x0) & (X x1)),50
allTests/generatedTracesFromPSL/smallTests/02.trace,369.67487,6,(x0 -> (G (x0 -> (X (X x0))))),92.50310878,6,(x0 -> (G (x0 -> (X (X x0))))),6
